Incremental transfer (MW),Branch flow (MVA),Branch flow (MVA) ,Bus voltage group
8750,142,159,0
8876,142,158,0
8938,142,157,0
8969,142,157,0
89768,142,156,0
0,166,138,0
500,166,139,0
1000,168,141,0
1500,170,144,0
2000,172,148,0
2500,172,152,0
3000,176,158,0
3500,185,164,0
4000,191,172,0
4500,197,179,0
5000,204,188,0
5500,212,197,0
6000,220,207,0
6500,229,218,0
7000,238,229,0
7500,248,241,0
8000,260,254,0
8500,272,269,0
9000,284,284,0
9500,297,300,0
10000,311,316,0
10500,326,334,0
11000,341,352,0
11500,356,371,0
12000,372,392,0
12500,390,415,0
13000,408,439,0
13500,427,465,0
14000,448,495,0
14250,464,520,1
14313,473,536,1
14344,478,546,1
14352,480,549,1
0,43,358,0
500,43,377,0
1000,43,396,0
1500,43,416,0
2000,43,435,0
2500,44,454,0
3000,44,474,0
3500,44,493,0
4000,44,513,0
4500,45,532,0
5000,45,552,0
5500,46,571,0
6000,46,591,0
6500,47,610,0
7000,47,630,0
7500,48,649,0
8000,48,669,0
8500,48,689,0
9000,49,709,0
9500,49,727,0
10000,49,749,0
10500,50,770,0
11000,50,770,0
11500,50,790,1
12000,51,811,1
12500,51,853,1
13000,51,875,1
13500,51,897,1
14000,51,921,1
14250,50,932,1
14313,50,933,1
14344,50,933,1
14352,50,933,1
0,197,176,0
500,191,169,0
1000,185,162,0
1500,180,156,0
2000,176,151,0
2500,173,147,0
3000,171,144,0
3500,170,143,0
4000,171,144,0
4500,172,146,0
5000,175,150,0
5500,180,156,0
6000,186,163,0
6500,193,173,0
7000,201,183,0
7500,213,197,0
8000,225,213,0
8500,239,230,0
9000,254,248,0
9500,271,268,0
10000,288,289,0
10500,306,311,0
11000,326,335,0
11500,347,360,0
12000,369,388,0
12500,393,418,0
13000,418,0,0
13500,446,451,0
14000,476,529,0
14176,491,552,1
14220,499,564,1
14242,503,572,1
0,191,168,0
500,191,170,0
1000,194,173,0
1500,197,177,0
2000,202,184,0
2500,208,191,0
3000,215,201,0
3500,224,211,0
4000,233,222,0
4500,243,234,0
5000,254,248,0
5500,266,262,0
6000,278,277,0
6500,291,293,0
7000,305,309,0
7500,320,326,0
8000,335,345,0
8500,350,364,0
8750,358,374,0
8876,362,379,0
8938,364,382,0
8969,366,383,0
89768,366,383,0
0,43,393,0
500,42,411,0
1000,43,430,0
1500,43,448,0
2000,43,467,0
2500,44,486,0
3000,44,504,0
3500,45,523,0
4000,45,541,0
4500,45,560,0
5000,46,578,0
5500,46,596,0
6000,47,615,0
6500,47,633,0
7000,48,651,0
7500,48,669,0
8000,49,688,0
8500,49,706,0
9000,49,721,0
9500,50,742,0
10000,50,761,0
10500,50,779,0
11000,50,797,0
11500,50,815,0
12000,51,834,1
12500,51,853,1
13000,51,872,1
13500,50,891,1
14000,50,911,1
14176,50,917,1
14220,49,917,1
14242,49,917,1
0,373,43,0
500,391,43,0
1000,410,43,0
1500,430,43,0
2000,449,44,0
2500,469,44,0
3000,490,44,0
3500,510,45,0
4000,530,45,0
4500,551,45,0
5000,572,46,0
5500,592,46,0
6000,513,46,0
6500,634,47,0
7000,655,47,0
7500,676,48,0
8000,697,48,0
8500,719,48,0
8750,729,49,1
8876,735,49,1
8938,737,49,1
8969,739,49,1
89768,739,49,1
0,297,58,0
500,288,53,0
1000,279,54,0
1500,270,59,0
2000,261,68,0
2500,252,80,0
3000,243,93,0
3500,235,107,0
4000,227,121,0
4500,219,136,0
5000,211,152,0
5500,203,167,0
6000,195,182,0
6500,188,198,0
7000,181,213,0
7500,174,228,0
8000,168,243,0
8500,162,258,0
9000,156,272,0
9500,151,286,0
10000,146,300,0
10500,142,314,0
11000,139,328,1
11500,137,342,1
12000,135,355,1
12500,134,368,1
13000,134,381,1
13500,135812,393,1
14000,139,405,1
14250,134,408,1
14313,124,406,1
14344,117,405,1
14352,115,405,1
0,258,50,0
500,250,56,0
1000,242,65,0
1500,234,77,0
2000,226,90,0
2500,218,104,0
3000,211,118,0
3500,203,132,0
4000,196,147,0
4500,189,161,0
5000,183,176,0
5500,177,190,0
6000,171,205,0
6500,165,219,0
7000,160,233,0
7500,155,247,0
8000,150,260,0
8500,146,273,0
9000,143,286,0
9500,140,299,0
10000,137,311,0
10500,136,323,0
11000,135,335,1
11500,134,346,1
12000,134,357,1
12500,135,367,1
13000,137,377,1
13500,140,386,1
14000,145,393,1
14176,142,394,1
14220,136,392,1
14242,133,390,1
0,292,38,0
500,282,52,0
1000,273,72,0
1500,263,94,0
2000,254,118,0
2500,245,142,0
3000,236,166,0
3500,227,189,0
4000,219,213,0
4500,210,236,0
5000,203,259,0
5500,195,282,0
6000,188,305,0
6500,182,327,0
7000,176,349,0
7500,171,371,0
8000,166,393,1
8500,162,415,1
8750,161,426,1
8876,160,431,1
8938,160,434,1
8969,160,435,1
89768,160,436,1
0,195,60,0
500,201,76,0
1000,207,80,0
1500,212,120,0
2000,218,144,0
2500,224,168,0
3000,229,193,0
3500,235,219,0
4000,241,244,0
4500,246,270,0
5000,252,295,0
5500,257,321,0
6000,263,347,0
6500,269,373,0
7000,274,399,0
7500,280,426,0
8000,285,452,0
8500,290,479,0
9000,296,505,0
9500,301,532,0
10000,307,559,0
10500,312,586,0
11000,318,613,0
11500,323,641,1
12000,329,668,1
12500,335,697,1
13000,341,725,1
13500,347,754,1
14000,353,784,1
14250,356,789,1
14313,357,792,1
14344,357,794,1
14352,357,795,1
0,199,57,0
500,230,65,0
1000,262,81,0
1500,294,102,0
2000,326,125,0
2500,358,150,0
3000,390,175,0
3500,422,200,0
4000,455,226,0
4500,487,252,0
5000,519,279,0
5500,552,305,0
6000,584,332,0
6500,617,359,0
7000,649,386,0
7500,682,413,0
8000,715,441,1
8500,748,468,0
9000,780,496,0
9500,813,524,0
10000,847,552,0
10500,880,581,0
11000,913,609,0
11500,947,638,1
12000,981,668,1
12500,1016,698,1
13000,1051,728,1
13500,1086,759,1
14000,1123,792,1
14176,1137,794,1
14220,1142,797,1
14242,1144,798,1
0,168,56,0
500,168,69,0
1000,167,88,0
1500,167,109,0
